title,Fatima's plate
target_kcal,1700
protein_min,110
protein_max,126
note,"One pick per meal · 6 starch, 2 milk, 7 protein, 2 snack"

meal,guide,option,kcal,carbs,protein,fat,ingredients
Breakfast,300 kcal · 1 starch + 2 protein + 1 milk for coffee,Eggs & mushroom scramble + tannour,300,26,22,13,eggs; mushrooms; tannour bread; onion
Breakfast,,Boiled eggs + bread choice,300,27,21,12,eggs; tannour bread; cucumber; tomato
Breakfast,,Eggs with kale & garlic + pita,300,24,21,14,eggs; kale; garlic; pita bread
Breakfast,,Greek yogurt protein pancakes,300,28,24,9,greek yogurt; eggs; oats
Breakfast,,Protein overnight oats,300,30,23,8,oats; greek yogurt; milk; chia seeds
Breakfast,,Za'atar labneh wrap,300,26,20,13,pita bread; labneh; cucumber; tomato
Breakfast,,"Feta, tomato & egg skillet",300,22,21,15,eggs; feta; tomato; tannour bread
Breakfast,,Halloumi pesto wrap,300,25,22,14,pita bread; halloumi; pesto; lettuce; tomato
Breakfast,,Cottage cheese & honey toast with walnuts,300,29,22,10,toast bread; cottage cheese; honey; walnuts
Breakfast,,Turkey & cheese breakfast wrap,300,24,23,13,pita bread; turkey breast; light cheese; lettuce
Breakfast,,Mini man'oushe (akkawi & za'atar),300,26,20,14,pita bread; akkawi cheese
Breakfast,,Eggs & avocado sourdough toast,300,24,20,15,sourdough; eggs; avocado
Snack 1 / coffee,100 kcal · 1 milk exchange,1 cup skimmed milk + coffee,100,12,8,1,milk
Snack 1 / coffee,,1 cup low-fat Greek yogurt,100,10,14,2,greek yogurt
Snack 1 / coffee,,1 cup low-fat yogurt (laban),100,12,8,2,laban
Snack 1 / coffee,,Cappuccino with skimmed milk,100,11,7,2,milk
Snack 1 / coffee,,Nescafé 2-in-1 (2 cups),100,14,2,4,nescafé sachets
Snack 1 / coffee,,Skip — black coffee or tea,0,0,0,0,
